ven_lati,ven_long,ven_vlrven
'-3.742845','-38.530627','R$ 44.80'
'-3.723875','-38.567249','R$ 30.89'
'-3.735879','-38.558603','R$ 37.80'
'-3.738109','-38.555819','R$ 20.89'
'-3.726859','-38.555796','R$ 38.80'
'-3.757066','-38.562531','R$ 31.79'
'-3.725435','-38.553087','R$ 62.70'
'-3.731858','-38.55631','R$ 96.60'
'-3.736187','-38.545863','R$ 42.80'
'-3.741684','-38.546949','R$ 37.80'
'-3.757066','-38.562531','R$ 74.20'
'-3.723705','-38.541582','R$ 30.89'
'-3.742328','-38.567011','R$ 27.89'
'-3.738109','-38.555819','R$ 20.89'
'-3.7363951','-38.5589898','R$ 72.70'
'-3.72286','-38.542239','R$ 60.10'
'-3.725806','-38.533971','R$ 40.90'
'-3.757066','-38.562531','R$ 42.20'
'-3.721958','-38.546122','R$ 115.40'
'-3.731145','-38.550659','R$ 65.10'
'-3.724036','-38.549883','R$ 57.80'
'-3.738109','-38.555819','R$ 20.89'
'-3.733627','-38.538545','R$ 54.70'
'-3.723875','-38.567249','R$ 30.89'
'-3.746351','-38.558829','R$ 83.80'
'-3.725825','-38.548942','R$ 51.40'
'-3.748972','-38.562417','R$ 45.60'
'-3.757126','-38.562451','R$ 89.90'
'-3.735307','-38.553164','R$ 71.70'
'-3.751776','-38.528959','R$ 153.40'
'-3.7544725','-38.5317294','R$ 86.60'
'-3.731217','-38.570819','R$ 45.90'
'-3.738109','-38.555819','R$ 20.89'
'-3.758777','-38.545509','R$ 47.60'
'-3.726859','-38.555796','R$ 38.80'
'-3.73574','-38.55847','R$ 28.89'
'-3.7314186','-38.5632872','R$ 57.70'
'-3.758777','-38.545509','R$ 49.90'
'-3.746735','-38.540449','R$ 95.50'
'-3.73574','-38.55847','R$ 38.80'
'-3.749126','-38.531213','R$ 144.80'
'-3.738109','-38.555819','R$ 20.89'
'-3.731911','-38.576533','R$ 63.60'
'-3.73574','-38.55847','R$ 38.80'
'-3.741684','-38.546949','R$ 37.80'
'-3.757066','-38.562531','R$ 62.70'
'-3.756931','-38.563015','R$ 118.50'
'-3.734217','-38.537818','R$ 40.80'
'-3.726859','-38.555796','R$ 38.80'
'-3.731911','-38.576533','R$ 74.60'
'-3.72286','-38.542239','R$ 57.60'
'-3.727287','-38.554074','R$ 35.79'
'-3.738109','-38.555819','R$ 31.79'
'-3.723042','-38.56206','R$ 61.70'
'-3.730563','-38.547759','R$ 53.80'
'-3.733386','-38.562832','R$ 54.80'
'-3.749126','-38.531213','R$ 191.40'
'-3.746735','-38.540449','R$ 80.60'
'-3.735142','-38.56245','R$ 70.80'
'-3.738109','-38.555819','R$ 30.89'
'-3.751776','-38.528959','R$ 197.30'
'-3.723042','-38.56206','R$ 37.80'
'-3.739581','-38.56516','R$ 77.70'
'-3.733627','-38.538545','R$ 35.70'
'-3.735307','-38.553164','R$ 122.50'
'-3.759414','-38.569852','R$ 71.70'
'-3.746735','-38.540449','R$ 41.80'
'-3.731911','-38.576533','R$ 92.50'
'-3.7363951','-38.5589898','R$ 30.80'
'-3.724036','-38.549883','R$ 71.70'
'-3.748966','-38.562411','R$ 54.80'
'-3.738514','-38.542427','R$ 23.89'
'-3.724213','-38.567248','R$ 31.89'
'-3.723705','-38.541582','R$ 47.30'
'-3.734848','-38.553266','R$ 27.89'
'-3.746735','-38.540449','R$ 85.60'
'-3.758777','-38.545509','R$ 49.90'
'-3.735554','-38.563024','R$ 93.70'
'-3.749126','-38.531213','R$ 319.70'
'-3.738109','-38.555819','R$ 30.89'
'-3.723042','-38.56206','R$ 70.70'
'-3.726859','-38.555796','R$ 38.80'
'-3.757066','-38.562531','R$ 49.70'
'-3.756931','-38.563015','R$ 131.30'
'-3.731911','-38.576533','R$ 68.70'
'-3.73574','-38.55847','R$ 38.80'
'-3.731911','-38.576533','R$ 47.70'
'-3.746842','-38.521723','R$ 48.90'
'-3.731858','-38.55631','R$ 23.89'
'-3.727807','-38.553324','R$ 46.70'
'-3.73574','-38.55847','R$ 46.70'
'-3.7278246','-38.547219','R$ 108.20'
'-3.725268','-38.563239','R$ 117.20'
'-3.741162','-38.534123','R$ 57.30'
'-3.731858','-38.55631','R$ 42.80'
'-3.736187','-38.545863','R$ 29.89'
'-3.731911','-38.576533','R$ 65.60'
'-3.72286','-38.542239','R$ 57.60'
'-3.726859','-38.555796','R$ 37.80'
'-3.731217','-38.570819','R$ 51.90'
'-3.736811','-38.57976','R$ 35.40'
'-3.73574','-38.55847','R$ 43.60'
'-3.726274','-38.534102','R$ 48.80'
'-3.734217','-38.537818','R$ 44.80'
'-3.73928','-38.562287','R$ 154.60'
'-3.733386','-38.562832','R$ 85.70'
'-3.735142','-38.56245','R$ 115.70'
'-3.733627','-38.538545','R$ 20.89'
'-3.751776','-38.528959','R$ 227.20'
'-3.731911','-38.576533','R$ 52.70'
'-3.758777','-38.545509','R$ 47.60'
'-3.7372071','-38.5646864','R$ 69.90'
'-3.73574','-38.55847','R$ 39.80'
'-3.7544725','-38.5317294','R$ 88.60'
'-3.733627','-38.538545','R$ 54.70'
'-3.723875','-38.567249','R$ 59.80'
'-3.731145','-38.550659','R$ 82.95'
'-3.738109','-38.555819','R$ 30.89'
'-3.758777','-38.545509','R$ 45.90'
'-3.7303','-38.560955','R$ 27.89'
'-3.731911','-38.576533','R$ 53.60'
'-3.73574','-38.55847','R$ 84.40'
'-3.760534','-38.56701','R$ 56.70'
'-3.756931','-38.563015','R$ 101.50'
'-3.746735','-38.540449','R$ 47.80'
'-3.7363951','-38.5589898','R$ 85.70'
'-3.72286','-38.542239','R$ 57.60'
'-3.746351','-38.558829','R$ 129.80'
'-3.724213','-38.567248','R$ 31.89'
'-3.748972','-38.562417','R$ 51.80'
'-3.72855','-38.56211','R$ 41.90'
'-3.751776','-38.528959','R$ 98.10'
'-3.746735','-38.540449','R$ 56.70'
'-3.725806','-38.533971','R$ 32.29'
'-3.731911','-38.576533','R$ 81.60'
'-3.749126','-38.531213','R$ 96.50'
'-3.726859','-38.555796','R$ 37.80'
'-3.731145','-38.550659','R$ 60.70'
'-3.724036','-38.549883','R$ 27.89'
'-3.723042','-38.56206','R$ 62.70'
'-3.731911','-38.576533','R$ 74.60'
'-3.760534','-38.56701','R$ 53.70'
'-3.73928','-38.562287','R$ 57.90'
'-3.751776','-38.528959','R$ 46.70'
'-3.727287','-38.554074','R$ 35.79'
'-3.731217','-38.570819','R$ 45.80'
'-3.7372071','-38.5646864','R$ 42.90'
'-3.758777','-38.545509','R$ 45.90'
'-3.73574','-38.55847','R$ 49.80'
'-3.734925','-38.561976','R$ 49.90'
'-3.738514','-38.542427','R$ 30.89'
'-3.746351','-38.558829','R$ 53.90'
'-3.7288238','-38.5539283','R$ 49.80'
'-3.73416','-38.524237','R$ 57.30'
'-3.738109','-38.555819','R$ 30.89'
'-3.726859','-38.555796','R$ 37.80'
'-3.731911','-38.576533','R$ 69.60'
'-3.733627','-38.538545','R$ 54.70'
'-3.731858','-38.55631','R$ 51.40'
'-3.741186','-38.555902','R$ 47.80'
'-3.7544725','-38.5317294','R$ 124.50'
'-3.758777','-38.545509','R$ 47.90'
'-3.731911','-38.576533','R$ 109.40'
'-3.731145','-38.550659','R$ 102.80'
'-3.742328','-38.567011','R$ 29.79'
'-3.736187','-38.545863','R$ 39.80'
'-3.7363951','-38.5589898','R$ 55.80'
'-3.751776','-38.528959','R$ 244.00'
'-3.731911','-38.576533','R$ 52.70'
'-3.742132','-38.554805','R$ 82.60'
'-3.741186','-38.555902','R$ 49.80'
'-3.731145','-38.550659','R$ 60.70'
'-3.727287','-38.554074','R$ 35.79'
'-3.760534','-38.56701','R$ 45.70'
'-3.734925','-38.561976','R$ 49.90'
'-3.746351','-38.558829','R$ 96.80'
'-3.731858','-38.55631','R$ 87.60'
'-3.758777','-38.545509','R$ 45.90'
'-3.738109','-38.555819','R$ 30.89'
'-3.7372071','-38.5646864','R$ 41.60'
'-3.731217','-38.570819','R$ 77.80'
'-3.734848','-38.553266','R$ 27.89'
'-3.731911','-38.576533','R$ 66.70'
'-3.7544725','-38.5317294','R$ 94.50'
'-3.736811','-38.57976','R$ 36.20'
'-3.74925','-38.547696','R$ 37.80'
'-3.736885','-38.557982','R$ 30.79'
'-3.7303','-38.560955','R$ 40.80'
'-3.733373','-38.562841','R$ 56.60'
'-3.723042','-38.56206','R$ 61.70'
'-3.749126','-38.531213','R$ 44.80'
'-3.725268','-38.563239','R$ 117.50'
'-3.725806','-38.533971','R$ 29.79'
'-3.731858','-38.55631','R$ 30.89'
'-3.724213','-38.567248','R$ 31.89'
'-3.760534','-38.56701','R$ 69.95'
'-3.742845','-38.530627','R$ 46.70'
'-3.738109','-38.555819','R$ 30.89'
'-3.74925','-38.547696','R$ 37.80'
'-3.731858','-38.55631','R$ 56.70'
'-3.721958','-38.546122','R$ 115.40'
'-3.731145','-38.550659','R$ 49.60'
'-3.724036','-38.549883','R$ 57.80'
'-3.734217','-38.537818','R$ 33.79'
'-3.73928','-38.562287','R$ 57.90'
'-3.73928','-38.562287','R$ 81.80'
'-3.735142','-38.56245','R$ 70.80'
'-3.728466','-38.549139','R$ 62.70'
'-3.735879','-38.558603','R$ 44.80'
'-3.748966','-38.562411','R$ 46.90'
'-3.73574','-38.55847','R$ 43.60'
'-3.723875','-38.567249','R$ 30.89'
'-3.746735','-38.540449','R$ 52.70'
'-3.724036','-38.549883','R$ 56.80'
'-3.7544725','-38.5317294','R$ 119.50'
'-3.731911','-38.576533','R$ 79.60'
'-3.731858','-38.55631','R$ 26.69'
'-3.72286','-38.542239','R$ 57.60'
'-3.746351','-38.558829','R$ 65.90'
'-3.742328','-38.567011','R$ 29.79'
'-3.731145','-38.550659','R$ 61.30'
'-3.738109','-38.555819','R$ 40.80'
'-3.758777','-38.545509','R$ 45.90'
'-3.731911','-38.576533','R$ 109.40'
'-3.73574','-38.55847','R$ 49.80'
'-3.74925','-38.547696','R$ 37.80'
'-3.734217','-38.537818','R$ 38.70'
'-3.727287','-38.554074','R$ 35.79'
'-3.738109','-38.555819','R$ 30.89'
'-3.736811','-38.57976','R$ 34.69'
'-3.72286','-38.542239','R$ 57.60'
'-3.7544725','-38.5317294','R$ 127.40'
'-3.73574','-38.55847','R$ 43.60'
'-3.74925','-38.547696','R$ 52.20'
'-3.742328','-38.567011','R$ 27.89'
'-3.736885','-38.557982','R$ 30.79'
'-3.735554','-38.563024','R$ 109.50'
'-3.731858','-38.55631','R$ 53.80'
'-3.738514','-38.542427','R$ 30.89'
'-3.756931','-38.563015','R$ 35.80'
'-3.7278246','-38.547219','R$ 59.80'
'-3.741003','-38.55766','R$ 35.79'
'-3.735142','-38.56245','R$ 97.70'
'-3.733386','-38.562832','R$ 104.40'
'-3.733411','-38.55941','R$ 59.80'
'-3.738109','-38.555819','R$ 30.89'
'-3.749126','-38.531213','R$ 197.00'
'-3.751776','-38.528959','R$ 186.00'
'-3.7363951','-38.5589898','R$ 101.50'
'-3.731911','-38.576533','R$ 76.60'
'-3.748972','-38.562417','R$ 103.10'
'-3.734848','-38.553266','R$ 56.70'
'-3.746351','-38.558829','R$ 149.70'
'-3.746735','-38.540449','R$ 56.70'
'-3.736811','-38.57976','R$ 27.89'
'-3.746735','-38.540449','R$ 47.80'
'-3.751776','-38.528959','R$ 64.10'
'-3.758777','-38.545509','R$ 49.90'
'-3.723042','-38.56206','R$ 82.70'
'-3.731911','-38.576533','R$ 106.40'
'-3.728193','-38.561957','R$ 35.79'
'-3.757126','-38.562451','R$ 103.30'
'-3.731858','-38.55631','R$ 53.80'
'-3.742354','-38.536059','R$ 34.89'
'-3.736885','-38.557982','R$ 30.79'
'-3.731911','-38.576533','R$ 109.40'
'-3.73574','-38.55847','R$ 49.80'
'-3.731145','-38.550659','R$ 66.90'
'-3.748972','-38.562417','R$ 86.20'
'-3.752341','-38.584574','R$ 59.80'
'-3.756559','-38.550007','R$ 58.80'
'-3.734217','-38.537818','R$ 33.79'
'-3.724213','-38.567248','R$ 31.89'
'-3.7544725','-38.5317294','R$ 142.30'
'-3.746735','-38.540449','R$ 43.80'
'-3.725806','-38.533971','R$ 36.20'
'-3.734848','-38.553266','R$ 27.89'
'-3.751776','-38.528959','R$ 49.20'
'-3.731911','-38.576533','R$ 35.79'
'-3.738109','-38.555819','R$ 30.89'
'-3.72286','-38.542239','R$ 57.60'
'-3.736187','-38.545863','R$ 39.80'
'-3.731217','-38.570819','R$ 47.90'
'-3.728466','-38.549139','R$ 118.30'
'-3.73928','-38.562287','R$ 46.70'
'-3.746351','-38.558829','R$ 65.90'
'-3.733386','-38.562832','R$ 81.70'
'-3.7278246','-38.547219','R$ 81.80'
'-3.756931','-38.563015','R$ 120.80'
'-3.752341','-38.584574','R$ 30.89'
'-3.749126','-38.531213','R$ 176.10'
'-3.724036','-38.549883','R$ 69.70'
'-3.742845','-38.530627','R$ 46.70'
'-3.731911','-38.576533','R$ 42.70'
'-3.746735','-38.540449','R$ 100.50'
'-3.739581','-38.56516','R$ 82.70'
'-3.73574','-38.55847','R$ 43.60'
'-3.7544725','-38.5317294','R$ 94.50'
'-3.7363951','-38.5589898','R$ 90.60'
'-3.751776','-38.528959','R$ 144.20'
'-3.731911','-38.576533','R$ 27.89'
'-3.749126','-38.531213','R$ 138.20'
'-3.735142','-38.56245','R$ 111.70'
'-3.7544725','-38.5317294','R$ 142.30'
'-3.731911','-38.576533','R$ 44.70'
'-3.735879','-38.558603','R$ 98.40'
'-3.731858','-38.55631','R$ 89.60'
'-3.735554','-38.563024','R$ 42.90'
'-3.751776','-38.528959','R$ 98.90'
'-3.758777','-38.545509','R$ 47.60'
'-3.723042','-38.56206','R$ 61.70'
'-3.73574','-38.55847','R$ 41.70'
'-3.733411','-38.55941','R$ 59.80'
'-3.723705','-38.541582','R$ 70.20'
'-3.731911','-38.576533','R$ 69.60'
'-3.736811','-38.57976','R$ 32.79'
'-3.72842','-38.562057','R$ 30.89'
'-3.738109','-38.555819','R$ 30.89'
'-3.725319','-38.553133','R$ 81.60'
'-3.733627','-38.538545','R$ 54.70'
'-3.727807','-38.553324','R$ 44.80'
'-3.731858','-38.55631','R$ 43.80'
'-3.724036','-38.549883','R$ 56.80'
'-3.7278246','-38.547219','R$ 59.80'
'-3.741684','-38.546949','R$ 27.89'
'-3.734848','-38.553266','R$ 27.89'
'-3.751776','-38.528959','R$ 111.40'
'-3.725806','-38.533971','R$ 36.20'
'-3.735879','-38.558603','R$ 76.20'
'-3.757126','-38.562451','R$ 39.60'
'-3.760534','-38.56701','R$ 58.70'
'-3.738109','-38.555819','R$ 30.89'
'-3.725881','-38.548989','R$ 68.60'
'-3.728193','-38.561957','R$ 33.79'
'-3.727287','-38.554074','R$ 35.79'
'-3.7372071','-38.5646864','R$ 41.90'
'-3.730362','-38.563572','R$ 80.70'
'-3.7372071','-38.5646864','R$ 41.90'
'-3.731911','-38.576533','R$ 66.60'
'-3.72286','-38.542239','R$ 60.10'
'-3.742354','-38.536059','R$ 27.89'
'-3.742132','-38.554805','R$ 28.79'
'-3.74925','-38.547696','R$ 34.59'
'-3.731858','-38.55631','R$ 33.79'
'-3.73416','-38.524237','R$ 57.30'
'-3.72855','-38.56211','R$ 41.90'
'-3.738514','-38.542427','R$ 30.89'
'-3.735307','-38.553164','R$ 144.40'
'-3.736885','-38.557982','R$ 30.79'
'-3.724213','-38.567248','R$ 31.89'
'-3.746735','-38.540449','R$ 46.80'
'-3.735554','-38.563024','R$ 101.40'
'-3.73574','-38.55847','R$ 43.60'
'-3.7544725','-38.5317294','R$ 94.50'
'-3.752341','-38.584574','R$ 59.80'
'-3.73928','-38.562287','R$ 173.60'
'-3.724036','-38.549883','R$ 80.60'
'-3.741162','-38.534123','R$ 57.30'
'-3.751776','-38.528959','R$ 180.20'
'-3.748972','-38.562417','R$ 44.30'
'-3.731911','-38.576533','R$ 64.60'
'-3.741684','-38.546949','R$ 27.89'
'-3.726859','-38.555796','R$ 35.80'
'-3.724798','-38.565144','R$ 42.10'
'-3.733386','-38.562832','R$ 80.70'
'-3.723336','-38.5641','R$ 75.70'
'-3.758777','-38.545509','R$ 70.40'
'-3.7278246','-38.547219','R$ 85.80'
'-3.734848','-38.553266','R$ 27.89'
'-3.7363951','-38.5589898','R$ 29.90'
'-3.756931','-38.563015','R$ 59.60'
'-3.757126','-38.562451','R$ 46.70'
'-3.731217','-38.570819','R$ 51.90'
'-3.742845','-38.530627','R$ 46.70'
'-3.7544725','-38.5317294','R$ 92.50'
'-3.742132','-38.554805','R$ 71.70'
'-3.742354','-38.536059','R$ 27.89'
'-3.736187','-38.545863','R$ 39.80'
'-3.751776','-38.528959','R$ 94.00'
'-3.723042','-38.56206','R$ 62.70'
'-3.73574','-38.55847','R$ 43.60'
'-3.760534','-38.56701','R$ 43.90'
'-3.730348','-38.56373','R$ 30.89'
'-3.744743','-38.55823','R$ 47.20'
'-3.733478','-38.55602','R$ 107.60'
'-3.752724','-38.551467','R$ 71.30'
'-3.742845','-38.530627','R$ 46.70'
'-3.756931','-38.563015','R$ 57.70'
'-3.756559','-38.550007','R$ 59.80'
'-3.7372071','-38.5646864','R$ 41.60'
'-3.7372071','-38.5646864','R$ 41.60'
'-3.7372071','-38.5646864','R$ 41.60'
'-3.7372071','-38.5646864','R$ 41.60'
'-3.7372071','-38.5646864','R$ 41.60'
'-3.7372071','-38.5646864','R$ 41.60'
'-3.731217','-38.570819','R$ 52.90'
'-3.738514','-38.542427','R$ 28.89'
'-3.738109','-38.555819','R$ 40.80'
'-3.751776','-38.528959','R$ 49.20'
'-3.723875','-38.567249','R$ 30.89'
'-3.724213','-38.567248','R$ 31.89'
'-3.723609','-38.566979','R$ 63.70'
'-3.731858','-38.55631','R$ 27.89'
'-3.727287','-38.554074','R$ 48.70'
'-3.735307','-38.553164','R$ 62.70'
'-3.736811','-38.57976','R$ 27.89'
'-3.73574','-38.55847','R$ 93.50'
'-3.756931','-38.563015','R$ 59.60'
'-3.7372071','-38.5646864','R$ 41.60'
'-3.738109','-38.555819','R$ 40.80'
'-3.7544725','-38.5317294','R$ 110.40'
'-3.721958','-38.546122','R$ 76.60'
'-3.731911','-38.576533','R$ 69.60'
'-3.751776','-38.528959','R$ 96.40'
'-3.746735','-38.540449','R$ 46.80'
'-3.736885','-38.557982','R$ 30.79'
'-3.742328','-38.567011','R$ 29.79'
'-3.735554','-38.563024','R$ 71.70'
'-3.735879','-38.558603','R$ 28.89'
'-3.736811','-38.57976','R$ 27.89'
'-3.724036','-38.549883','R$ 30.89'
'-3.732243','-38.553508','R$ 90.50'
'-3.758777','-38.545509','R$ 49.90'
'-3.726859','-38.555796','R$ 35.80'
'-3.731911','-38.576533','R$ 35.79'
'-3.731217','-38.570819','R$ 49.90'
'-3.723875','-38.567249','R$ 59.80'
'-3.72286','-38.542239','R$ 60.10'
'-3.731911','-38.576533','R$ 35.79'
'-3.751776','-38.528959','R$ 49.20'
'-3.731217','-38.570819','R$ 37.80'
'-3.733386','-38.562832','R$ 85.60'
'-3.760534','-38.56701','R$ 45.70'
'-3.738514','-38.542427','R$ 28.89'
'-3.744743','-38.55823','R$ 52.20'
'-3.735879','-38.558603','R$ 77.90'
'-3.73416','-38.524237','R$ 57.30'
'-3.738109','-38.555819','R$ 30.89'
'-3.738514','-38.542427','R$ 28.89'
'-3.731858','-38.55631','R$ 27.89'
'-3.756559','-38.550007','R$ 74.70'
'-3.734217','-38.537818','R$ 35.69'
'-3.723042','-38.56206','R$ 61.70'
'-3.746351','-38.558829','R$ 56.90'
'-3.727287','-38.554074','R$ 35.79'
'-3.735554','-38.563024','R$ 118.40'
'-3.736187','-38.545863','R$ 39.80'
'-3.725806','-38.533971','R$ 36.20'
'-3.725319','-38.553133','R$ 30.89'
'-3.736811','-38.57976','R$ 27.89'
'-3.735879','-38.558603','R$ 29.79'
'-3.73574','-38.55847','R$ 43.60'
'-3.744743','-38.55823','R$ 84.40'
'-3.731145','-38.550659','R$ 58.90'
'-3.727287','-38.554074','R$ 35.79'
'-3.741186','-38.555902','R$ 35.40'
'-3.737223','-38.564705','R$ 50.40'
'-3.731858','-38.55631','R$ 125.40'
'-3.742845','-38.530627','R$ 46.70'
'-3.726859','-38.555796','R$ 38.80'
'-3.724036','-38.549883','R$ 65.70'
'-3.751776','-38.528959','R$ 263.80'
'-3.730563','-38.547759','R$ 100.85'
'-3.7544725','-38.5317294','R$ 160.20'
'-3.7585587','-38.5691728','R$ 72.50'
'-3.732331','-38.54936','R$ 28.59'
'-3.728193','-38.561957','R$ 58.80'
'-3.72286','-38.542239','R$ 51.80'
'-3.758777','-38.545509','R$ 64.10'
'-3.733627','-38.538545','R$ 74.20'
'-3.736811','-38.57976','R$ 29.79'
'-3.742845','-38.530627','R$ 49.20'
'-3.731145','-38.550659','R$ 90.85'
'-3.73928','-38.562287','R$ 133.70'
'-3.723042','-38.56206','R$ 62.70'
'-3.756559','-38.550007','R$ 87.70'
'-3.751776','-38.528959','R$ 155.30'
'-3.742328','-38.567011','R$ 29.79'
'-3.7355839','-38.5630695','R$ 93.70'
'-3.731911','-38.576533','R$ 103.50'
'-3.73574','-38.55847','R$ 43.60'
'-3.756559','-38.550007','R$ 56.80'
'-3.734217','-38.537818','R$ 33.39'
'-3.727287','-38.554074','R$ 35.79'
'-3.725319','-38.553133','R$ 30.89'
'-3.725806','-38.533971','R$ 36.20'
'-3.726859','-38.555796','R$ 38.80'
'-3.73574','-38.55847','R$ 43.60'
'-3.725268','-38.563239','R$ 48.80'
'-3.733627','-38.538545','R$ 87.00'
'-3.7363951','-38.5589898','R$ 105.50'
'-3.731911','-38.576533','R$ 35.79'
'-3.725268','-38.563239','R$ 80.70'
'-3.724213','-38.567248','R$ 31.89'
'-3.733411','-38.55941','R$ 33.39'
'-3.731911','-38.576533','R$ 37.79'
'-3.7355839','-38.5630695','R$ 79.60'
'-3.725806','-38.533971','R$ 36.20'
'-3.735879','-38.558603','R$ 46.20'
'-3.73574','-38.55847','R$ 43.60'
'-3.731145','-38.550659','R$ 58.90'
'-3.733998','-38.531406','R$ 57.30'
'-3.721958','-38.546122','R$ 76.60'
'-3.73928','-38.562287','R$ 59.90'
'-3.746351','-38.558829','R$ 92.80'
'-3.724036','-38.549883','R$ 41.80'
'-3.748972','-38.562417','R$ 54.80'
'-3.751776','-38.528959','R$ 263.80'
'-3.7544725','-38.5317294','R$ 127.40'
'-3.757126','-38.562451','R$ 29.79'
'-3.735307','-38.553164','R$ 103.50'
'-3.739581','-38.56516','R$ 55.80'
'-3.7355839','-38.5630695','R$ 165.10'
'-3.735879','-38.558603','R$ 71.30'
'-3.7288238','-38.5539283','R$ 89.70'
'-3.758777','-38.545509','R$ 49.90'
'-3.731911','-38.576533','R$ 35.79'
'-3.731858','-38.55631','R$ 24.89'
'-3.73928','-38.562287','R$ 57.90'
'-3.731911','-38.576533','R$ 43.80'
'-3.736811','-38.57976','R$ 32.79'
'-3.742354','-38.536059','R$ 24.89'
'-3.727807','-38.553324','R$ 51.60'
'-3.726859','-38.555796','R$ 38.80'
'-3.7593379','-38.5699236','R$ 100.10'
'-3.736811','-38.57976','R$ 55.70'
'-3.756559','-38.550007','R$ 60.30'
'-3.742845','-38.530627','R$ 37.80'
'-3.726859','-38.555796','R$ 38.80'
'-3.724036','-38.549883','R$ 41.80'
'-3.725806','-38.533971','R$ 32.29'
'-3.731217','-38.570819','R$ 78.80'
'-3.723042','-38.56206','R$ 55.70'
'-3.733627','-38.538545','R$ 49.80'
'-3.738109','-38.555819','R$ 20.49'
'-3.723875','-38.567249','R$ 30.89'
'-3.743927','-38.541977','R$ 41.00'
'-3.725319','-38.553133','R$ 37.30'
'-3.725806','-38.533971','R$ 36.20'
'-3.726859','-38.555796','R$ 38.80'
'-3.73574','-38.55847','R$ 43.60'
'-3.7593379','-38.5699236','R$ 63.00'
'-3.741186','-38.555902','R$ 33.29'
'-3.731858','-38.55631','R$ 88.20'
'-3.7544725','-38.5317294','R$ 89.50'
'-3.7248784','-38.5651794','R$ 27.90'
'-3.7593379','-38.5699236','R$ 61.70'
'-3.731858','-38.55631','R$ 55.60'
'-3.743927','-38.541977','R$ 75.50'
'-3.736187','-38.545863','R$ 39.80'
'-3.725806','-38.533971','R$ 36.20'
'-3.721958','-38.546122','R$ 61.70'
'-3.7544725','-38.5317294','R$ 84.20'
'-3.756931','-38.563015','R$ 86.50'
'-3.7593379','-38.5699236','R$ 63.00'
'-3.758777','-38.545509','R$ 49.90'
'-3.748972','-38.562417','R$ 106.30'
'-3.731217','-38.570819','R$ 48.90'
'-3.723042','-38.56206','R$ 131.50'
'-3.739581','-38.56516','R$ 76.70'
'-3.73574','-38.55847','R$ 43.60'
'-3.741684','-38.546949','R$ 27.89'
'-3.7544725','-38.5317294','R$ 119.40'
'-3.742328','-38.567011','R$ 29.79'
'-3.7593379','-38.5699236','R$ 80.60'
'-3.736811','-38.57976','R$ 59.80'
'-3.756559','-38.550007','R$ 54.80'
'-3.751776','-38.528959','R$ 84.70'
'-3.758777','-38.545509','R$ 49.90'
'-3.731911','-38.576533','R$ 37.79'
'-3.731217','-38.570819','R$ 49.90'
'-3.757126','-38.562451','R$ 32.79'
'-3.7305603','-38.547778','R$ 74.30'
'-3.738109','-38.555819','R$ 20.49'
'-3.723705','-38.541582','R$ 85.10'
'-3.742132','-38.554805','R$ 36.80'
'-3.7358785','-38.558603','R$ 92.50'
'-3.7593379','-38.5699236','R$ 63.00'
'-3.746351','-38.558829','R$ 63.40'
'-3.738514','-38.542427','R$ 37.30'
'-3.727287','-38.554074','R$ 35.79'
'-3.731858','-38.55631','R$ 68.30'
'-3.748972','-38.562417','R$ 104.80'
'-3.741186','-38.555902','R$ 49.80'
'-3.7593379','-38.5699236','R$ 61.70'
'-3.734217','-38.537818','R$ 49.70'
'-3.724036','-38.549883','R$ 41.80'
'-3.738109','-38.555819','R$ 30.89'
'-3.735142','-38.56245','R$ 30.90'
'-3.751776','-38.528959','R$ 235.70'
'-3.742328','-38.567011','R$ 29.79'
'-3.73416','-38.524237','R$ 57.30'
'-3.73574','-38.55847','R$ 43.60'
'-3.7593379','-38.5699236','R$ 43.10'
'-3.741003','-38.55766','R$ 36.80'
'-3.744743','-38.55823','R$ 39.70'
'-3.733627','-38.538545','R$ 59.70'
'-3.736811','-38.57976','R$ 32.29'
'-3.7593379','-38.5699236','R$ 41.80'
'-3.756931','-38.563015','R$ 104.40'
'-3.723875','-38.567249','R$ 30.89'
'-3.741162','-38.534123','R$ 57.30'
'-3.724036','-38.549883','R$ 31.89'
'-3.724213','-38.567248','R$ 31.89'
'-3.727287','-38.554074','R$ 35.79'
'-3.7372071','-38.5646864','R$ 36.80'
'-3.733411','-38.55941','R$ 33.39'
'-3.7593379','-38.5699236','R$ 81.60'
'-3.756931','-38.563015','R$ 95.10'
'-3.733386','-38.562832','R$ 53.80'
'-3.746735','-38.540449','R$ 41.80'
'-3.73928','-38.562287','R$ 66.90'
'-3.735142','-38.56245','R$ 30.90'
'-3.756559','-38.550007','R$ 59.80'
'-3.734217','-38.537818','R$ 54.60'
'-3.736187','-38.545863','R$ 29.89'
'-3.735554','-38.563024','R$ 68.70'
'-3.731911','-38.576533','R$ 37.79'
'-3.739993','-38.554501','R$ 22.89'
'-3.7544725','-38.5317294','R$ 35.80'
'-3.751776','-38.528959','R$ 40.60'
'-3.7593379','-38.5699236','R$ 81.20'
'-3.730362','-38.563572','R$ 80.70'
'-3.728764','-38.553886','R$ 27.89'
'-3.742354','-38.536059','R$ 66.30'
'-3.731217','-38.570819','R$ 75.80'
'-3.726859','-38.555796','R$ 38.80'
'-3.731145','-38.550659','R$ 57.90'
'-3.7372071','-38.5646864','R$ 35.80'
